workload	name
fotonik3d	649.fotonik3d_s-10881B.champsimtrace.xz
mcf	605.mcf_s-994B.champsimtrace.xz
gcc	602.gcc_s-1850B.champsimtrace.xz
omnetpp	620.omnetpp_s-141B.champsimtrace.xz
bwaves	603.bwaves_s-2931B.champsimtrace.xz
roms	654.roms_s-1007B.champsimtrace.xz
cactuBSSN	607.cactuBSSN_s-2421B.champsimtrace.xz
wrf	621.wrf_s-6673B.champsimtrace.xz
pop2	628.pop2_s-17B.champsimtrace.xz
xalancbmk	623.xalancbmk_s-592B.champsimtrace.xz
add	add.champsimtrace.xz
copy	copy.champsimtrace.xz
scale	scale.champsimtrace.xz
triad	triad.champsimtrace.xz
