mixname	bmk0	bmk1	bmk2	bmk3	bmk4	bmk5	bmk6	bmk7
ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M	CF	CF	CF	CF	CF	CF	CF	CF
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_26750M.length_250M	BC	BC	BC	BC	BC	BC	BC	BC
ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M	PR-Delta	PR-Delta	PR-Delta	PR-Delta	PR-Delta	PR-Delta	PR-Delta	PR-Delta
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M	BFSCC	BFSCC	BFSCC	BFSCC	BFSCC	BFSCC	BFSCC	BFSCC
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_21500M.length_250M	BFS	BFS	BFS	BFS	BFS	BFS	BFS	BFS
ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_32000M.length_250M	Radii	Radii	Radii	Radii	Radii	Radii	Radii	Radii
ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M	Triangle	Triangle	Triangle	Triangle	Triangle	Triangle	Triangle	Triangle
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_22750M.length_250M	Components	Components	Components	Components	Components	Components	Components	Components
ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M	Comp-SC	Comp-SC	Comp-SC	Comp-SC	Comp-SC	Comp-SC	Comp-SC	Comp-SC
ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_21750M.length_250M	PageRank	PageRank	PageRank	PageRank	PageRank	PageRank	PageRank	PageRank
ligra_BFS-Bitvector.com-lj.ungraph.gcc_6.3.0_O3.drop_23000M.length_250M	BFS-BV	BFS-BV	BFS-BV	BFS-BV	BFS-BV	BFS-BV	BFS-BV	BFS-BV
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_7500M.length_250M	BellmanFord	BellmanFord	BellmanFord	BellmanFord	BellmanFord	BellmanFord	BellmanFord	BellmanFord
ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M	MIS	MIS	MIS	MIS	MIS	MIS	MIS	MIS
649.fotonik3d_s-10881B	fotonik3d	fotonik3d	fotonik3d	fotonik3d	fotonik3d	fotonik3d	fotonik3d	fotonik3d
605.mcf_s-994B	mcf	mcf	mcf	mcf	mcf	mcf	mcf	mcf
602.gcc_s-1850B	gcc	gcc	gcc	gcc	gcc	gcc	gcc	gcc
620.omnetpp_s-141B	omnetpp	omnetpp	omnetpp	omnetpp	omnetpp	omnetpp	omnetpp	omnetpp
603.bwaves_s-2931B	bwaves	bwaves	bwaves	bwaves	bwaves	bwaves	bwaves	bwaves
654.roms_s-1007B	roms	roms	roms	roms	roms	roms	roms	roms
607.cactuBSSN_s-2421B	cactuBSSN	cactuBSSN	cactuBSSN	cactuBSSN	cactuBSSN	cactuBSSN	cactuBSSN	cactuBSSN
621.wrf_s-6673B	wrf	wrf	wrf	wrf	wrf	wrf	wrf	wrf
628.pop2_s-17B	pop2	pop2	pop2	pop2	pop2	pop2	pop2	pop2
623.xalancbmk_s-592B	xalancbmk	xalancbmk	xalancbmk	xalancbmk	xalancbmk	xalancbmk	xalancbmk	xalancbmk
parsec_2.1.canneal.simlarge.prebuilt.drop_4500M.length_250M	canneal	canneal	canneal	canneal	canneal	canneal	canneal	canneal
parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M	fluida	fluida	fluida	fluida	fluida	fluida	fluida	fluida
parsec_2.1.raytrace.simlarge.prebuilt.drop_23500M.length_250M	raytrace	raytrace	raytrace	raytrace	raytrace	raytrace	raytrace	raytrace
parsec_2.1.facesim.simlarge.prebuilt.drop_1500M.length_250M	facesim	facesim	facesim	facesim	facesim	facesim	facesim	facesim
parsec_2.1.streamcluster.simlarge.prebuilt.drop_14750M.length_250M	streamc	streamc	streamc	streamc	streamc	streamc	streamc	streamc
cassandra	cassandra_phase1_core0	cassandra_phase1_core1	cassandra_phase1_core2	cassandra_phase1_core3	cassandra_phase1_core0	cassandra_phase1_core1	cassandra_phase1_core2	cassandra_phase1_core3
classification	classification_phase1_core0	classification_phase1_core1	classification_phase1_core2	classification_phase1_core3	classification_phase1_core0	classification_phase1_core1	classification_phase1_core2	classification_phase1_core3
nutch	nutch_phase1_core0	nutch_phase1_core1	nutch_phase1_core2	nutch_phase1_core3	nutch_phase1_core0	nutch_phase1_core1	nutch_phase1_core2	nutch_phase1_core3
cloud9	cloud9_phase1_core0	cloud9_phase1_core1	cloud9_phase1_core2	cloud9_phase1_core3	cloud9_phase1_core0	cloud9_phase1_core1	cloud9_phase1_core2	cloud9_phase1_core3
mix1	Radii	fotonik3d	roms	Components	BC	wrf	PageRank	PR-Delta
mix2	MIS	PR-Delta	fluida	BFSCC	Radii	BellmanFord	Triangle	gcc
mix3	pop2	BC	fluida	fotonik3d	mcf	BFS	Radii	BellmanFord
mix4	mcf	MIS	fluida	facesim	streamc	Comp-SC	BellmanFord	cactuBSSN
mix5	PageRank	canneal	cactuBSSN	Radii	mcf	streamc	omnetpp	Triangle
mix6	Comp-SC	PR-Delta	bwaves	facesim	BFS	mcf	Components	raytrace
mix7	BC	PR-Delta	streamc	canneal	facesim	pop2	Radii	CF
mix8	streamc	BFSCC	BellmanFord	BFS	mcf	Radii	CF	facesim
mix9	Components	cactuBSSN	pop2	PageRank	bwaves	CF	MIS	streamc
mix10	PR-Delta	raytrace	BFS	fluida	CF	Comp-SC	wrf	bwaves
mix11	wrf	xalancbmk	Comp-SC	fotonik3d	BellmanFord	roms	BFS-BV	raytrace
mix12	BFS	xalancbmk	cactuBSSN	omnetpp	MIS	BFSCC	raytrace	roms
mix13	bwaves	roms	canneal	CF	fluida	Radii	streamc	xalancbmk
mix14	BFSCC	cactuBSSN	pop2	BellmanFord	Triangle	streamc	CF	xalancbmk
cs_mix1	nutch_phase1_core1	classification_phase1_core0	pop2	BC	canneal	mcf	facesim	Components
cs_mix2	cassandra_phase1_core1	BFSCC	cassandra_phase1_core3	cloud9_phase1_core2	BC	pop2	raytrace	cloud9_phase1_core3
cs_mix3	Comp-SC	nutch_phase1_core0	PageRank	classification_phase1_core1	BC	classification_phase1_core3	Radii	Triangle
cs_mix4	roms	cloud9_phase1_core1	cassandra_phase1_core2	nutch_phase1_core2	BC	raytrace	streamc	pop2
cs_mix5	PR-Delta	cactuBSSN	BC	cloud9_phase1_core0	raytrace	BellmanFord	Comp-SC	classification_phase1_core0
