workload	exp	id_alpha100	ip
fotonik3d	1.0136	1.0	1.0
mcf	1.0297	1.0	1.0
gcc	0.9369	1.0	1.0
omnetpp	1.0693	1.0	1.0
bwaves	1.004	1.0	1.0
roms	0.979	1.0	1.0
cactuBSSN	1.0139	0.997	1.0
wrf	0.9858	1.0	1.0
pop2	1.0079	1.0	1.0
xalancbmk	1.0027	1.0	1.0
0.0	0.0	0.0	0.0
add	0.9599	1.0	1.0
copy	0.9491	1.0	1.0
scale	0.945	1.0	1.0
triad	0.9693	1.0	1.0
add_copy	0.9531	1.0	1.0
add_scale	0.9502	1.0	1.0
add_triad	0.9654	1.0	1.0
scale_triad	0.9535	1.0	1.0
0.0	0.0	0.0	0.0
SPEC	1.0038	0.9997	1.0
STREAM	0.9556	1.0	1.0
