workload	exp_alpha35	exp_alpha100	id_alpha35	id_alpha100	ip	no_mro
CF	1.0343	1.0287	0.9585	0.9408	0.9601	0.9939
BC	0.9463	0.9454	0.9532	0.9197	0.9182	0.9871
PR-Delta	1.0277	1.0238	1.0062	0.9995	0.9604	0.9972
BFSCC	0.9939	0.9782	0.8952	0.8581	0.912	0.9767
BFS	1.0504	1.044	1.0078	1.0094	0.9481	0.9967
Radii	0.9929	0.9809	0.9433	0.9153	0.9304	0.9893
Triangle	0.9732	0.9669	0.9637	0.9434	0.9076	0.9921
Components	0.9879	0.964	0.8938	0.8548	0.903	0.967
Comp-SC	0.9982	0.9805	0.9117	0.8774	0.9081	0.9765
PageRank	0.9569	0.9275	0.8594	0.8079	0.8963	0.9533
BFS-BV	0.9934	0.9772	0.9375	0.9086	0.9175	0.9851
BellmanFord	0.9409	0.9304	0.9423	0.9172	0.8798	0.9822
MIS	0.9155	0.9006	0.8366	0.7959	0.9029	0.9796
0.0	0.0	0.0	0.0	0.0	0.0	0.0
fotonik3d	0.9655	0.9443	0.8706	0.8304	0.9093	0.9702
mcf	1.0025	0.9878	0.9159	0.8819	0.945	0.9831
gcc	0.9125	0.9018	0.9587	0.9353	0.8911	0.985
omnetpp	1.057	1.051	0.9764	0.9602	0.9623	0.9935
bwaves	0.9548	0.9477	0.8934	0.8631	0.9199	0.9639
roms	0.9773	0.9778	0.9941	0.9884	0.9985	1.0004
cactuBSSN	1.0096	1.0077	0.996	0.9924	0.9776	0.9972
wrf	0.9564	0.9438	0.9188	0.886	0.9107	0.98
pop2	0.9936	0.9794	0.9688	0.9611	0.9658	0.9922
xalancbmk	1.0025	1.0018	0.9999	1.0	0.998	1.0002
0.0	0.0	0.0	0.0	0.0	0.0	0.0
canneal	1.1004	1.0963	1.0196	1.018	0.9735	0.9973
fluida	1.0026	1.0023	0.9988	0.9985	0.9975	0.9992
raytrace	0.9166	0.9118	0.9636	0.9396	0.9697	1.0009
facesim	1.0056	1.0043	0.9976	0.9934	0.9941	1.0023
streamc	1.1357	1.1317	1.0216	1.0209	0.9888	0.9997
0.0	0.0	0.0	0.0	0.0	0.0	0.0
add	0.9275	0.9136	0.8507	0.8124	0.909	0.9834
copy	0.9188	0.9037	0.8426	0.8036	0.9052	0.9831
scale	0.917	0.904	0.8484	0.8113	0.9067	0.9835
triad	0.9371	0.924	0.8562	0.8184	0.9033	0.9805
0.0	0.0	0.0	0.0	0.0	0.0	0.0
kmeans	1.0621	1.0506	0.9535	0.9318	0.9424	0.9905
masstree	1.0633	1.0587	0.9693	0.9559	0.9673	0.9962
0.0	0.0	0.0	0.0	0.0	0.0	0.0
LIGRA	0.9848	0.9721	0.9302	0.9016	0.9185	0.9827
SPEC	0.9825	0.9735	0.9482	0.9281	0.9471	0.9865
PARSEC	1.0292	1.0263	1.0	0.9936	0.9846	0.9999
STREAM	0.9251	0.9113	0.8495	0.8114	0.906	0.9826
OTHERS	1.0627	1.0546	0.9614	0.9438	0.9548	0.9934
ALL	0.9877	0.9776	0.9372	0.9135	0.937	0.987
