workload	exp_alpha35	exp_alpha100	id_alpha35	id_alpha100	ip	no_mro
CF	1.0418	1.0424	0.9902	0.985	0.9872	1.0012
BC	0.965	0.9643	0.9866	0.9766	0.9771	0.9972
PR-Delta	1.0347	1.0355	1.0039	1.0063	0.9867	0.9984
BFSCC	1.0259	1.0226	0.9708	0.9588	0.9724	0.9937
BFS	1.0585	1.0625	1.0033	1.0082	0.978	0.9983
Radii	1.0137	1.007	0.986	0.9799	0.9772	0.9975
Triangle	0.9987	0.9906	0.9929	0.9898	0.9656	0.9998
Components	1.0253	1.0176	0.9703	0.9564	0.9697	0.9926
Comp-SC	1.0293	1.0258	0.9764	0.9618	0.9708	0.9951
PageRank	1.0079	0.9986	0.9597	0.9398	0.967	0.9875
BFS-BV	1.0148	1.0143	0.9809	0.9745	0.972	0.9965
BellmanFord	0.9573	0.9564	0.9793	0.9737	0.951	0.9902
MIS	0.9419	0.9375	0.9393	0.9161	0.9691	0.9946
0.0	0.0	0.0	0.0	0.0	0.0	0.0
fotonik3d	0.9997	0.9897	0.9564	0.9393	0.9676	0.9881
mcf	1.0235	1.018	0.9748	0.964	0.9854	0.9939
gcc	0.9298	0.9263	0.9935	0.9883	0.9602	0.9986
omnetpp	1.0664	1.0648	0.9972	0.9952	0.9877	0.9974
bwaves	0.9905	0.9842	0.9636	0.9483	0.9703	0.9867
roms	0.9784	0.9785	1.0006	0.9993	1.0012	1.001
cactuBSSN	1.0136	1.0147	0.9968	1.0015	0.9894	1.003
wrf	0.9768	0.9736	0.9734	0.9697	0.9698	0.9965
pop2	1.0064	0.9988	0.9924	0.988	0.9865	0.9994
xalancbmk	1.0025	1.0018	0.9998	1.0003	0.9992	1.0006
0.0	0.0	0.0	0.0	0.0	0.0	0.0
canneal	1.107	1.1055	1.0092	1.0131	0.992	1.0002
fluida	1.0027	1.0023	0.9998	0.9993	0.9997	1.0013
raytrace	0.9214	0.9206	0.991	0.9844	0.9872	1.002
facesim	1.0063	1.0076	1.0014	1.0019	0.9988	1.0043
streamc	1.1404	1.1401	1.0099	1.0124	0.9959	1.0001
0.0	0.0	0.0	0.0	0.0	0.0	0.0
add	0.9507	0.9473	0.9448	0.924	0.9679	0.9958
copy	0.9429	0.9381	0.9396	0.9197	0.9691	0.9946
scale	0.9384	0.9356	0.9426	0.9222	0.9686	0.9962
triad	0.9615	0.9589	0.95	0.929	0.9665	0.9951
0.0	0.0	0.0	0.0	0.0	0.0	0.0
kmeans	1.0793	1.0783	0.9881	0.9828	0.9827	0.9965
masstree	1.0737	1.073	0.9962	0.9918	0.9908	1.0011
0.0	0.0	0.0	0.0	0.0	0.0	0.0
LIGRA	1.0083	1.0052	0.9798	0.971	0.9726	0.9956
SPEC	0.9982	0.9945	0.9847	0.9792	0.9817	0.9965
PARSEC	1.0325	1.0322	1.0022	1.0022	0.9947	1.0016
STREAM	0.9483	0.9449	0.9443	0.9237	0.968	0.9954
OTHERS	1.0765	1.0757	0.9921	0.9872	0.9867	0.9988
ALL	1.0054	1.0026	0.981	0.9731	0.9787	0.9969
