workload	ip
CF	5.8369
BC	7.0171
PR-Delta	8.4666
BFSCC	4.0754
BFS	9.5943
Radii	6.6789
Triangle	7.8374
Components	3.6619
Comp-SC	4.4962
PageRank	2.6198
BFS-BV	5.9287
BellmanFord	6.6165
MIS	5.356
0.0	0.0
fotonik3d	4.7836
mcf	3.3158
gcc	11.3393
omnetpp	6.7175
bwaves	4.9507
roms	16.0136
cactuBSSN	7.5774
wrf	5.9719
pop2	8.7647
xalancbmk	16.6507
0.0	0.0
canneal	7.6952
fluida	17.2022
raytrace	8.6509
facesim	12.1293
streamc	6.5295
0.0	0.0
add	5.2171
copy	5.7186
scale	5.5749
triad	5.1292
0.0	0.0
kmeans	7.3145
masstree	5.5573
0.0	0.0
LIGRA	5.6819
SPEC	7.5877
PARSEC	9.8066
STREAM	5.4044
OTHERS	6.3757
ALL	6.7093
