workload	suite1	suite2	suite3	suite4	suite5	suite6	suite7
fotonik3d	1.0036	0.9991	1.0051	1.0021	0.9965	0.9856	0.9881
mcf	1.0043	1.021	1.0216	1.0144	1.0062	0.9967	0.9939
gcc	0.8235	0.939	0.9477	1.0368	1.0369	1.0244	0.9986
omnetpp	1.0488	1.0568	1.0677	1.0645	1.0489	1.0265	0.9974
bwaves	0.9567	0.9814	0.9871	0.9912	0.9742	0.9798	0.9867
roms	0.9768	0.9721	0.9785	0.9705	0.9683	0.9998	1.001
cactuBSSN	1.0209	1.0147	1.0122	1.0116	1.0087	1.007	1.003
wrf	0.9361	0.9556	0.9822	1.0059	1.0156	1.0043	0.9965
pop2	0.956	0.9902	1.0065	1.0142	1.018	1.0067	0.9994
xalancbmk	1.001	1.0022	1.0015	1.0017	1.0012	1.0013	1.0006
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
add	0.8259	0.9306	0.9618	0.9941	1.0035	0.9959	0.9958
copy	0.7982	0.919	0.9531	0.9836	0.9967	0.994	0.9946
scale	0.7919	0.913	0.95	0.9876	1.0006	0.996	0.9962
triad	0.8449	0.9442	0.9701	0.999	1.0022	0.9959	0.9951
add_copy	0.8088	0.9233	0.9564	0.9913	1.0013	0.9959	0.9953
add_scale	0.8058	0.9199	0.9547	0.9897	0.999	0.9966	0.9957
add_triad	0.8355	0.9383	0.9682	0.9971	1.0047	0.9968	0.9957
scale_triad	0.8107	0.9233	0.9584	0.9922	1.003	0.9952	0.9948
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPEC	0.9709	0.9927	1.0006	1.011	1.0072	1.0031	0.9965
STREAM	0.815	0.9264	0.9591	0.9918	1.0014	0.9958	0.9954
