workload	para_rfm	raa_rfm	mg_rfm	suite3	suite4	suite5
CF	0.8032	1.0	1.0	0.7866	1.0604	1.0604
BC	0.9028	1.0	1.0	0.779	0.9221	0.9221
PR-Delta	0.9319	1.0	1.0	0.7987	0.9062	0.9062
BFSCC	0.8448	1.0	1.0	0.7329	0.9317	0.9317
BFS	0.9159	1.0	1.0	0.8082	0.9513	0.9513
Radii	0.7757	1.0	1.0	0.7447	1.0622	1.0612
Triangle	0.8111	1.0	0.9994	0.7332	1.0143	1.0134
Components	0.6839	1.0	0.9856	0.6632	1.0484	1.0295
Comp-SC	0.6958	1.0	0.9806	0.6703	1.0451	1.0223
PageRank	0.7079	1.0	0.9951	0.6854	1.033	1.0264
BFS-BV	0.7735	1.0	0.9987	0.7279	1.0378	1.0373
BellmanFord	0.9259	1.0	1.0	0.803	0.9322	0.9322
MIS	0.891	1.0	1.0	0.7337	0.9252	0.9252
0.0	0.0	0.0	0.0	0.0	0.0	0.0
fotonik3d	0.8342	1.0	1.0	0.7937	1.0345	1.0342
mcf	0.7871	1.0	1.0	0.7641	1.0397	1.0397
gcc	0.9495	1.0	1.0	0.746	0.8476	0.8476
omnetpp	0.908	1.0	1.0	0.9121	1.0509	1.0509
bwaves	0.8585	1.0	1.0	0.8283	1.0208	1.0208
roms	0.935	1.0	1.0	0.8896	0.9899	0.9899
cactuBSSN	0.7996	1.0	1.0	0.7831	1.0214	1.0214
wrf	0.8746	1.0	1.0	0.7621	0.9474	0.9474
pop2	0.9457	1.0	1.0	0.8425	0.935	0.935
xalancbmk	0.9877	1.0	1.0	0.9828	0.9982	0.9982
0.0	0.0	0.0	0.0	0.0	0.0	0.0
canneal	0.9191	1.0	1.0	0.9898	1.1191	1.1191
fluida	0.9927	1.0	1.0	0.9874	1.0013	1.0013
raytrace	0.9464	1.0	1.0	0.8864	0.9801	0.9801
facesim	0.9387	1.0	1.0	0.9376	1.0282	1.0282
streamc	0.8364	1.0	1.0	0.7506	1.008	1.008
0.0	0.0	0.0	0.0	0.0	0.0	0.0
add	0.9138	1.0	1.0	0.7859	0.9175	0.9175
copy	0.9525	1.0	1.0	0.8041	0.8918	0.8918
scale	0.9477	1.0	1.0	0.7977	0.8996	0.8996
triad	0.8983	1.0	1.0	0.772	0.9194	0.9194
0.0	0.0	0.0	0.0	0.0	0.0	0.0
kmeans	0.8673	1.0	1.0	0.6893	0.9046	0.9046
masstree	0.8679	1.0	1.0	0.8456	1.036	1.036
0.0	0.0	0.0	0.0	0.0	0.0	0.0
LIGRA	0.8156	1.0	0.9969	0.7421	0.9882	0.9845
SPEC	0.8856	1.0	1.0	0.8273	0.9867	0.9866
PARSEC	0.9252	1.0	1.0	0.9058	1.0262	1.0262
STREAM	0.9278	1.0	1.0	0.7898	0.907	0.907
OTHERS	0.8676	1.0	1.0	0.7634	0.9681	0.9681
ALL	0.8674	1.0	0.9988	0.7961	0.9821	0.9807
