workload,ideal,start_s,start_d
CF,0.969,0.965,0.967
BC,0.913,0.892,0.910
PageRank-D,0.935,0.852,0.924
BFS-CC,0.929,0.860,0.921
BFS,0.949,0.826,0.937
Radii,0.875,0.752,0.860
Triangle,0.906,0.741,0.885
Components,0.800,0.685,0.785
Comp-SC,0.808,0.673,0.791
PageRank,0.801,0.733,0.793
BFS-BV,0.898,0.796,0.885
BellmanF,0.953,0.969,0.955
MIS,0.951,0.889,0.950
0.000,0.000,0.000,0.000
fotonik3D,0.958,0.949,0.950
mcf,0.948,0.830,0.906
gcc,0.973,0.973,0.973
omnetpp,0.960,0.904,0.952
bwaves,0.912,0.899,0.909
roms,0.975,0.969,0.973
cactuBSSN,0.903,0.881,0.902
wrf,0.943,0.878,0.936
pop2,0.975,0.895,0.967
xalancbmk,0.993,0.978,0.991
0.000,0.000,0.000,0.000
canneal,0.963,0.906,0.956
fluidanimate,0.974,0.981,0.975
raytrace,0.969,0.966,0.969
facesim,0.952,0.911,0.948
streamc,0.888,0.883,0.887
0.000,0.000,0.000,0.000
LIGRA,0.897,0.812,0.887
SPEC,0.954,0.914,0.945
PARSEC,0.949,0.929,0.946
ALL,0.926,0.868,0.918
