workload	hydra_c	hydra_p	start_s	start_lite	start_d	ideal
CF	0.8972	0.9822	0.9948	0.973	0.9963	0.9972
BC	0.8497	0.9695	0.9689	0.9815	0.9844	0.9864
PR-Delta	0.9501	0.9849	0.9139	0.9833	0.9827	0.9923
BFSCC	0.9554	0.9813	0.9275	0.9822	0.9826	0.9904
BFS	0.9682	0.9868	0.8865	0.9853	0.9842	0.9939
Radii	0.8699	0.9555	0.8593	0.9644	0.9643	0.9765
Triangle	0.9679	0.9807	0.8358	0.9682	0.9681	0.9862
Components	0.803	0.9284	0.8199	0.9346	0.9366	0.9529
Comp-SC	0.8311	0.9329	0.8026	0.9378	0.9366	0.9539
PageRank	0.4686	0.8435	0.87	0.9346	0.9393	0.9495
BFS-BV	0.957	0.9751	0.8889	0.9714	0.9719	0.9821
BellmanFord	0.9845	0.9908	1.0086	0.9819	0.9807	0.9964
MIS	0.9885	0.9923	0.9342	0.9952	0.9953	0.9964
0.0	0.0	0.0	0.0	0.0	0.0	0.0
fotonik3d	0.811	0.9323	0.9887	0.8487	0.9841	0.9948
mcf	0.6896	0.8497	0.8786	0.7768	0.9488	0.9945
gcc	0.9943	0.9956	0.9966	0.9959	0.9965	0.9964
omnetpp	0.8629	0.9704	0.9411	0.9913	0.9917	0.9975
bwaves	0.9325	0.9518	0.9735	0.9752	0.9792	0.9828
roms	0.9844	0.9923	0.9917	0.9949	0.9945	0.9973
cactuBSSN	0.932	0.9609	0.9577	0.9769	0.978	0.9785
wrf	0.9808	0.9871	0.9231	0.9816	0.9807	0.9909
pop2	0.9903	0.995	0.9227	0.9865	0.9794	1.0004
xalancbmk	0.9978	0.997	0.984	0.9963	0.9955	0.998
0.0	0.0	0.0	0.0	0.0	0.0	0.0
canneal	0.88	0.9856	0.9369	0.9888	0.9887	0.9951
fluida	0.9811	0.9954	1.0051	1.0005	1.0007	0.9998
raytrace	0.9895	0.9918	0.9928	0.9938	0.9943	0.9968
facesim	0.9875	0.9897	0.9505	0.9855	0.9856	0.9904
streamc	0.9724	0.9727	0.9693	0.9747	0.9742	0.9752
0.0	0.0	0.0	0.0	0.0	0.0	0.0
LIGRA	0.8703	0.961	0.8987	0.9685	0.9708	0.9809
SPEC	0.912	0.9622	0.9551	0.9494	0.9828	0.9931
PARSEC	0.9612	0.987	0.9706	0.9886	0.9887	0.9914
ALL	0.9008	0.966	0.9311	0.9652	0.9782	0.9871
