workload	exp_alpha100	id_alpha100	ip
fotonik3d	1.0028	0.9978	1.0012
mcf	1.0326	0.9996	1.0016
gcc	0.8635	1.0	1.0003
omnetpp	1.0584	1.0002	0.9999
bwaves	0.9972	0.9955	0.9996
roms	0.9541	0.999	1.0002
cactuBSSN	1.027	1.0007	1.004
wrf	0.9588	0.9916	0.999
pop2	0.9834	0.9889	0.9981
xalancbmk	1.0019	0.9996	0.9997
0.0	0.0	0.0	0.0
add	0.9334	0.9973	1.0
copy	0.9234	0.9964	1.0
scale	0.9223	0.9968	1.0
triad	0.9409	0.9977	1.0
add_copy	0.9287	0.9971	1.0
add_scale	0.9285	0.9967	1.0
add_triad	0.9369	0.9971	1.0
copy_scale	0.9231	0.9969	1.0
copy_triad	0.9327	0.997	1.0
scale_triad	0.9322	0.9969	1.0
0.0	0.0	0.0	0.0
SPEC	0.9866	0.9973	1.0004
STREAM	0.9302	0.997	1.0
