workload	suite1	suite2	suite3	suite4	suite5	suite6	suite7
fotonik3d	0.9673	0.9963	1.0134	1.0098	1.0077	1.0054	1.0
mcf	0.9829	1.0196	1.0262	1.0211	1.0141	1.0077	1.0
gcc	0.7701	0.8793	0.9035	0.9635	1.0114	1.0103	1.0
omnetpp	1.0161	1.0415	1.0606	1.0592	1.0457	1.0253	1.0
bwaves	0.9049	0.9832	1.0077	0.9937	0.9964	0.9999	1.0
roms	0.9692	0.9643	0.9718	0.9672	0.9655	0.9977	1.0
cactuBSSN	1.0273	1.0276	1.0316	1.0256	1.0207	1.0127	1.0
wrf	0.8618	0.9109	0.9559	0.9816	0.9971	1.0019	1.0
pop2	0.9095	0.9502	0.9907	0.9956	1.004	0.9992	1.0
xalancbmk	0.9979	0.9995	0.9997	0.998	0.9988	0.9977	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
add	0.7437	0.8985	0.9459	0.9907	1.0032	1.0045	1.0
copy	0.6958	0.8803	0.9385	0.9875	1.0022	1.003	1.0
scale	0.7021	0.8804	0.9376	0.9883	1.0026	1.0035	1.0
triad	0.756	0.9075	0.9512	0.9924	1.0057	1.004	1.0
add_copy	0.7195	0.8908	0.9416	0.9878	1.0029	1.0042	1.0
add_scale	0.7224	0.8904	0.9417	0.9895	1.003	1.005	1.0
add_triad	0.7505	0.9036	0.9501	0.9916	1.0031	1.006	1.0
copy_scale	0.6982	0.881	0.9372	0.9867	1.0027	1.0025	1.0
copy_triad	0.7249	0.8959	0.9456	0.9898	1.0005	1.0047	1.0
scale_triad	0.7315	0.8955	0.9466	0.991	1.0024	1.0055	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPEC	0.9375	0.976	0.9952	1.0012	1.0059	1.0057	1.0
STREAM	0.7242	0.8924	0.9436	0.9895	1.0028	1.0043	1.0
