workload	suite1	suite2	suite3	suite4	suite5	suite6
fotonik3d	0.6552	0.6493	0.6954	0.6984	1.0027	1.0019
mcf	0.8624	0.9677	0.996	1.0245	1.019	1.0179
gcc	0.7653	0.8813	0.9034	0.9616	1.011	1.0142
omnetpp	0.8011	0.8096	0.9124	1.0598	1.0476	1.0292
bwaves	0.6152	0.61	0.6493	0.6502	0.651	0.9932
roms	0.7606	0.7814	0.9522	0.956	0.9559	0.9964
cactuBSSN	0.9793	0.9722	1.0028	1.0022	1.0009	0.9995
wrf	0.7591	0.9252	0.9666	0.9926	1.0035	1.0065
pop2	0.893	0.9594	0.9961	1.0042	1.0066	1.0044
xalancbmk	0.9773	0.9986	1.0018	1.0029	1.0019	1.0008
0.0	0.0	0.0	0.0	0.0	0.0	0.0
add	0.7445	0.9	0.9469	0.9915	1.0032	1.0045
copy	0.6985	0.8828	0.9387	0.9874	1.0023	1.0034
scale	0.7052	0.0	0.9389	0.9887	1.0036	1.0042
triad	0.7579	0.9086	0.9545	0.9954	1.0033	1.0051
add_copy	0.7218	0.8922	0.9432	0.9886	1.002	1.0039
add_scale	0.7259	0.8922	0.9435	0.9907	1.0032	1.0044
add_triad	0.7507	0.9039	0.9508	0.9931	1.0034	1.0047
copy_scale	0.7022	0.8834	0.9396	0.9885	1.0029	1.0042
copy_triad	0.7275	0.8966	0.9467	0.9906	1.0022	1.0034
scale_triad	0.7322	0.8971	0.9468	0.9921	1.0028	1.0045
0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPEC	0.7983	0.8444	0.8981	0.9241	0.9625	1.0064
STREAM	0.7264	0.0	0.9449	0.9907	1.0029	1.0042
