workload	suite1	suite2	suite3	suite4	suite5	suite6
fotonik3d	0.6544	0.6562	0.8144	1.0099	1.0101	1.005
mcf	0.9859	1.0152	1.0236	1.0186	1.0088	1.0042
gcc	0.7644	0.879	0.9023	0.9563	1.0058	1.009
omnetpp	0.7982	1.0418	1.056	1.0582	1.0447	1.0282
bwaves	0.6059	0.6069	0.8363	0.8903	0.9902	0.9912
roms	0.9614	0.9626	0.9624	0.9622	0.9598	0.9953
cactuBSSN	0.9969	0.9941	1.01	1.0093	1.0113	1.0028
wrf	0.7828	0.9147	0.9572	0.9882	1.0025	1.0082
pop2	0.9134	0.9535	0.98	1.0015	1.0038	1.0061
xalancbmk	0.9912	0.9912	0.9914	0.9914	0.991	0.9912
0.0	0.0	0.0	0.0	0.0	0.0	0.0
add	0.7426	0.8988	0.9457	0.9902	1.0037	1.0045
copy	0.6959	0.8807	0.937	0.9874	1.0022	1.0026
scale	0.7015	0.8804	0.9374	0.9861	1.0027	1.0026
triad	0.7585	0.9086	0.9543	0.9963	1.007	1.0081
add_copy	0.0	0.8918	0.942	0.9909	1.0035	1.0046
add_scale	0.7228	0.8915	0.9442	0.9898	1.0036	1.0053
add_triad	0.7504	0.9037	0.9515	0.994	1.0035	1.0066
copy_scale	0.698	0.8791	0.9367	0.9872	1.0039	1.0041
copy_triad	0.7238	0.8951	0.9459	0.9897	1.0015	1.0045
scale_triad	0.7289	0.8956	0.9454	0.9916	1.0027	1.0034
0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPEC	0.8336	0.8884	0.9503	0.9876	1.0026	1.0041
STREAM	0.0	0.8925	0.944	0.9903	1.0034	1.0046
