workload	exp_alpha35	exp_alpha100	id_alpha35	id_alpha100
fotonik3d	1.0028	1.0028	1.0004	0.9978
mcf	1.0326	1.0326	0.9884	0.9996
gcc	0.8635	0.8635	1.0	1.0
omnetpp	1.0584	1.0584	1.0004	1.0002
bwaves	0.9972	0.9972	1.0007	0.9955
roms	0.9541	0.9541	1.0001	0.999
cactuBSSN	1.027	1.027	1.0024	1.0007
wrf	0.9588	0.9588	0.9957	0.9916
pop2	0.9834	0.9834	0.9992	0.9889
xalancbmk	1.0019	1.0019	1.0	0.9996
0.0	0.0	0.0	0.0	0.0
add	0.9334	0.9334	1.0	0.9973
copy	0.9234	0.9234	0.9993	0.9964
scale	0.9223	0.9223	0.9992	0.9968
triad	0.9409	0.9409	1.0003	0.9977
add_copy	0.9287	0.9287	0.9997	0.9971
add_scale	0.9285	0.9285	0.9995	0.9967
add_triad	0.9369	0.9369	0.9993	0.9971
copy_scale	0.9231	0.9231	0.9992	0.9969
copy_triad	0.9327	0.9327	0.9998	0.997
scale_triad	0.9322	0.9322	0.9996	0.9969
0.0	0.0	0.0	0.0	0.0
SPEC	0.9866	0.9866	0.9987	0.9973
STREAM	0.9302	0.9302	0.9996	0.997
