workload	exp_alpha35	exp_alpha100	id_alpha35	id_alpha100
fotonik3d	0.9967	0.9922	0.9654	0.9486
mcf	1.0226	1.0171	0.9791	0.9668
gcc	0.8586	0.8559	0.9797	0.9686
omnetpp	1.0571	1.0556	0.9989	0.9971
bwaves	0.9921	0.9874	0.9737	0.9573
roms	0.9514	0.9504	0.9869	0.9807
cactuBSSN	1.0235	1.0188	0.9871	0.9771
wrf	0.9576	0.9546	0.9752	0.964
pop2	0.981	0.9894	0.9877	0.9882
xalancbmk	1.0017	1.0017	0.999	0.9986
0.0	0.0	0.0	0.0	0.0
add	0.9284	0.9242	0.9533	0.9346
copy	0.9202	0.9163	0.9552	0.9372
scale	0.9175	0.9145	0.9555	0.9386
triad	0.9359	0.9318	0.9554	0.9378
add_copy	0.9245	0.9211	0.9547	0.9369
add_scale	0.9248	0.9211	0.9554	0.9378
add_triad	0.9329	0.9288	0.9546	0.9364
copy_scale	0.9199	0.9166	0.9562	0.9385
copy_triad	0.928	0.9244	0.9548	0.9364
scale_triad	0.928	0.9244	0.9554	0.9379
0.0	0.0	0.0	0.0	0.0
SPEC	0.9828	0.9809	0.9832	0.9746
STREAM	0.926	0.9223	0.955	0.9372
