workload	suite1	suite2	suite3	suite4	suite5	suite6	suite7
fotonik3d	0.935	0.9537	0.9611	0.9621	0.9553	0.9395	0.9735
mcf	0.9742	1.0091	1.0025	1.0041	0.9945	0.9724	0.9842
gcc	0.7506	0.8564	0.8796	0.9373	0.9907	0.9867	0.9902
omnetpp	1.0152	1.0375	1.0492	1.0479	1.0353	1.0146	0.9955
bwaves	0.8864	0.9463	0.9621	0.9583	0.9496	0.9378	0.9751
roms	0.9028	0.9319	0.9457	0.9449	0.9448	0.9805	0.9944
cactuBSSN	0.9871	0.9982	0.9964	0.9932	0.9839	0.9638	0.9839
wrf	0.8323	0.9121	0.9443	0.969	0.9769	0.9739	0.987
pop2	0.8686	0.9512	0.9792	0.9922	0.9896	0.9883	0.9847
xalancbmk	0.9775	0.9988	1.0019	1.0023	1.0018	1.0003	0.9999
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
add	0.7255	0.8717	0.9154	0.9601	0.9704	0.9633	0.9836
copy	0.6834	0.8576	0.9103	0.9593	0.9728	0.9656	0.985
scale	0.6899	0.8572	0.91	0.9605	0.9736	0.9662	0.9848
triad	0.7376	0.8793	0.9212	0.9619	0.9695	0.9625	0.9829
add_copy	0.0	0.8664	0.9142	0.9601	0.9723	0.9652	0.9847
add_scale	0.0	0.8661	0.9138	0.961	0.9722	0.9652	0.9846
add_triad	0.7311	0.875	0.9179	0.9609	0.9698	0.9626	0.9826
copy_scale	0.687	0.8584	0.9108	0.9599	0.9737	0.9659	0.9851
copy_triad	0.7108	0.8702	0.9172	0.9606	0.9706	0.9638	0.9839
scale_triad	0.7145	0.8699	0.9165	0.9609	0.9709	0.964	0.9837
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPEC	0.9095	0.9582	0.9712	0.9806	0.9819	0.9755	0.9868
STREAM	0.0	0.8671	0.9147	0.9605	0.9716	0.9644	0.9841
