workload	exp_alpha35	exp_alpha100	id_alpha35	id_alpha100
fotonik3d	1.0028	1.0028	1.0003	1.0011
mcf	1.0326	1.0326	1.0004	0.9941
gcc	0.8635	0.8635	1.0	1.0001
omnetpp	1.0584	1.0584	0.9998	1.0003
bwaves	0.9972	0.9972	1.0	0.9998
roms	0.9541	0.9541	1.0	0.9998
cactuBSSN	1.027	1.027	1.0024	1.0041
wrf	0.9588	0.9588	1.0003	1.0004
pop2	0.9834	0.9834	0.9981	1.0002
xalancbmk	1.0019	1.0019	0.9999	1.0001
0.0	0.0	0.0	0.0	0.0
add	0.9334	0.9334	1.0	1.0002
copy	0.9234	0.9234	1.0	1.0002
scale	0.9223	0.9223	1.0	1.0004
triad	0.9409	0.9409	1.0	0.9999
add_copy	0.9287	0.9287	1.0	1.0002
add_scale	0.9285	0.9285	1.0	0.9998
add_triad	0.9369	0.9369	1.0	0.9999
copy_scale	0.9231	0.9231	1.0	1.0
copy_triad	0.9327	0.9327	1.0	1.0006
scale_triad	0.9322	0.9322	1.0	0.9997
0.0	0.0	0.0	0.0	0.0
SPEC	0.9866	0.9866	1.0001	1.0
STREAM	0.9302	0.9302	1.0	1.0001
