workload	exp_alpha100	id_alpha100	ip
fotonik3d	1.0028	1.0011	1.0
mcf	1.0326	0.9941	1.0
gcc	0.8635	1.0001	1.0
omnetpp	1.0584	1.0003	1.0
bwaves	0.9972	0.9998	1.0
roms	0.9541	0.9998	1.0
cactuBSSN	1.027	1.0041	1.0
wrf	0.9588	1.0004	1.0
pop2	0.9834	1.0002	1.0
xalancbmk	1.0019	1.0001	1.0
0.0	0.0	0.0	0.0
add	0.9334	1.0002	1.0
copy	0.9234	1.0002	1.0
scale	0.9223	1.0004	1.0
triad	0.9409	0.9999	1.0
add_copy	0.9287	1.0002	1.0
add_scale	0.9285	0.9998	1.0
add_triad	0.9369	0.9999	1.0
copy_scale	0.9231	1.0	1.0
copy_triad	0.9327	1.0006	1.0
scale_triad	0.9322	0.9997	1.0
0.0	0.0	0.0	0.0
SPEC	0.9866	1.0	1.0
STREAM	0.9302	1.0001	1.0
