workload	suite1	suite2	suite3	suite4	suite5	suite6	suite7
fotonik3d	0.9618	0.9926	1.0072	1.0101	1.0068	1.0024	1.0
mcf	0.9875	1.0077	1.0287	1.0269	1.0208	1.0059	1.0
gcc	0.7682	0.8813	0.9037	0.9618	1.0115	1.0145	1.0
omnetpp	1.019	1.0462	1.0606	1.06	1.0476	1.0285	1.0
bwaves	0.9116	0.9841	1.002	1.0023	0.9975	0.9972	1.0
roms	0.9119	0.9422	0.9575	0.9572	0.9568	0.9978	1.0
cactuBSSN	1.0035	1.0247	1.0275	1.0269	1.0192	1.0129	1.0
wrf	0.8461	0.9322	0.9673	0.9951	1.0029	1.0071	1.0
pop2	0.8883	0.9552	0.9903	1.0023	1.0042	1.0012	1.0
xalancbmk	0.9766	0.9995	1.0027	1.0029	1.0026	1.0012	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
add	0.7443	0.8999	0.9472	0.9915	1.0028	1.0041	1.0
copy	0.6983	0.8827	0.9388	0.9871	1.0023	1.0032	1.0
scale	0.7046	0.8824	0.9382	0.9889	1.0034	1.0043	1.0
triad	0.7577	0.9087	0.9544	0.9951	1.0038	1.0048	1.0
add_copy	0.722	0.8927	0.9433	0.9895	1.0026	1.004	1.0
add_scale	0.726	0.8925	0.9437	0.9902	1.0034	1.0046	1.0
add_triad	0.7509	0.9041	0.9507	0.9934	1.0033	1.0048	1.0
copy_scale	0.7021	0.883	0.9391	0.9879	1.0027	1.0036	1.0
copy_triad	0.7278	0.8973	0.9471	0.9905	1.0019	1.0046	1.0
scale_triad	0.7321	0.8969	0.9469	0.9921	1.0026	1.0046	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPEC	0.9243	0.9754	0.9939	1.0041	1.0068	1.0068	1.0
STREAM	0.7263	0.894	0.9449	0.9906	1.0029	1.0043	1.0
