workload	exp_alpha35	exp_alpha100	id_alpha35	id_alpha100
fotonik3d	0.981	0.9595	0.8948	0.8554
mcf	1.0189	1.0109	0.9388	0.8977
gcc	0.8469	0.835	0.9219	0.8848
omnetpp	1.0519	1.0464	0.9848	0.9708
bwaves	0.9793	0.9563	0.9143	0.8774
roms	0.9472	0.941	0.9548	0.935
cactuBSSN	1.0128	0.9964	0.9441	0.9155
wrf	0.9487	0.9363	0.9265	0.8967
pop2	0.9879	0.9815	0.9704	0.9569
xalancbmk	1.0012	1.0005	0.9983	0.9973
0.0	0.0	0.0	0.0	0.0
add	0.916	0.9016	0.881	0.8479
copy	0.9079	0.8943	0.8839	0.8518
scale	0.907	0.8934	0.889	0.858
triad	0.9225	0.9077	0.8845	0.8513
add_copy	0.9131	0.8992	0.8824	0.8495
add_scale	0.9123	0.899	0.8851	0.8528
add_triad	0.9198	0.9053	0.8825	0.8497
copy_scale	0.9078	0.8948	0.8863	0.8546
copy_triad	0.9169	0.9027	0.8822	0.8484
scale_triad	0.9158	0.9022	0.8851	0.8523
0.0	0.0	0.0	0.0	0.0
SPEC	0.9761	0.9648	0.9444	0.9178
STREAM	0.9139	0.9	0.8842	0.8516
