workload	exp_alpha100	id_alpha100	ip
fotonik3d	0.9922	0.9486	0.9765
mcf	1.0171	0.9668	0.9934
gcc	0.8559	0.9686	0.9819
omnetpp	1.0556	0.9971	0.99
bwaves	0.9874	0.9573	0.9844
roms	0.9504	0.9807	0.9932
cactuBSSN	1.0188	0.9771	0.9831
wrf	0.9546	0.964	0.9821
pop2	0.9894	0.9882	0.9866
xalancbmk	1.0017	0.9986	0.9986
0.0	0.0	0.0	0.0
add	0.9242	0.9346	0.9681
copy	0.9163	0.9372	0.9711
scale	0.9145	0.9386	0.9699
triad	0.9318	0.9378	0.9691
add_copy	0.9211	0.9369	0.9705
add_scale	0.9211	0.9378	0.9701
add_triad	0.9288	0.9364	0.9694
copy_scale	0.9166	0.9385	0.9711
copy_triad	0.9244	0.9364	0.9707
scale_triad	0.9244	0.9379	0.9702
0.0	0.0	0.0	0.0
SPEC	0.9809	0.9746	0.987
STREAM	0.9223	0.9372	0.97
