workload	exp_alpha100	id_alpha100	ip
fotonik3d	0.9595	0.8554	0.9361
mcf	1.0109	0.8977	0.9626
gcc	0.835	0.8848	0.9523
omnetpp	1.0464	0.9708	0.9689
bwaves	0.9563	0.8774	0.9567
roms	0.941	0.935	0.9788
cactuBSSN	0.9964	0.9155	0.9481
wrf	0.9363	0.8967	0.9528
pop2	0.9815	0.9569	0.9792
xalancbmk	1.0005	0.9973	0.9955
0.0	0.0	0.0	0.0
add	0.9016	0.8479	0.9196
copy	0.8943	0.8518	0.9229
scale	0.8934	0.858	0.923
triad	0.9077	0.8513	0.9208
add_copy	0.8992	0.8495	0.9231
add_scale	0.899	0.8528	0.9224
add_triad	0.9053	0.8497	0.9204
copy_scale	0.8948	0.8546	0.9229
copy_triad	0.9027	0.8484	0.9238
scale_triad	0.9022	0.8523	0.9231
0.0	0.0	0.0	0.0
SPEC	0.9648	0.9178	0.963
STREAM	0.9	0.8516	0.9222
