workload	suite1	suite2	suite3	suite4	suite5	suite6	suite7
fotonik3d	0.9545	0.9838	0.9936	0.9967	0.9925	0.9861	0.9934
mcf	0.9914	1.0174	1.017	1.0056	1.0099	0.9905	0.993
gcc	0.7632	0.8749	0.8979	0.9551	1.0063	1.0071	0.9978
omnetpp	1.018	1.0438	1.0579	1.0569	1.0447	1.0251	0.9988
bwaves	0.9059	0.9727	0.9904	0.9916	0.9839	0.9803	0.9934
roms	0.9094	0.9395	0.9533	0.9542	0.9533	0.9929	0.9992
cactuBSSN	0.9988	1.0196	1.0217	1.0159	1.0067	0.9983	0.9959
wrf	0.8428	0.9252	0.9609	0.9856	0.9957	0.9973	0.9966
pop2	0.8841	0.9532	0.98	0.9992	0.9997	0.9992	0.9928
xalancbmk	0.9774	0.9996	1.0026	1.0033	1.0027	1.001	1.0001
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
add	0.739	0.8921	0.9385	0.983	0.9943	0.9935	0.9961
copy	0.6945	0.876	0.9315	0.98	0.995	0.9932	0.9955
scale	0.7012	0.8759	0.9306	0.981	0.9956	0.9944	0.9965
triad	0.7524	0.9004	0.9456	0.9863	0.9941	0.994	0.9956
add_copy	0.7176	0.8855	0.9358	0.9813	0.9941	0.9943	0.9964
add_scale	0.7214	0.8852	0.9355	0.9826	0.9949	0.9945	0.9958
add_triad	0.7454	0.8961	0.9418	0.9846	0.994	0.9934	0.9949
copy_scale	0.698	0.877	0.9314	0.9806	0.9949	0.9944	0.9955
copy_triad	0.7228	0.8899	0.939	0.9824	0.9945	0.9935	0.9963
scale_triad	0.7275	0.8894	0.9387	0.9836	0.9946	0.9938	0.9957
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPEC	0.9213	0.9717	0.9866	0.996	0.9993	0.9977	0.9961
STREAM	0.7217	0.8867	0.9368	0.9825	0.9946	0.9939	0.9958
