workload	tRC_1	tRC_2	tRC_4	tRC_8	tRC_16	tRC_32
CF	1.0586	1.0633	1.0407	1.0163	1.0037	0.9999
BC	0.9678	0.9887	0.9881	0.9949	0.9976	0.9994
PR-Delta	0.935	0.9719	0.9803	0.9931	0.9988	1.0004
BFSCC	0.9489	0.9596	0.9734	0.9892	0.9968	0.9999
BFS	0.9579	0.9679	0.9777	0.991	0.9983	1.0019
Radii	1.0615	1.0515	1.0276	1.0101	1.0008	0.999
Triangle	0.9754	0.955	0.9413	0.9729	0.9896	0.9977
Components	1.0416	1.0273	1.01	1.0022	1.0003	0.9999
Comp-SC	1.0379	1.0251	1.0105	1.0024	0.9995	0.9994
PageRank	1.0305	1.0228	1.0118	1.0022	0.9998	0.9999
BFS-BV	0.9957	0.9833	0.9821	0.9916	0.9974	0.9995
BellmanFord	0.9239	0.9547	0.9266	0.9684	0.9888	0.9972
MIS	0.9389	0.912	0.9348	0.9618	0.9831	0.9952
0.0	0.0	0.0	0.0	0.0	0.0	0.0
fotonik3d	1.0356	1.0341	1.0285	1.0139	1.0022	1.0001
mcf	1.0485	1.0388	1.0301	0.9963	1.0112	1.0037
gcc	0.8463	0.8324	0.8158	0.9255	0.9676	0.9908
omnetpp	1.0484	1.0741	1.0659	1.045	1.0209	1.0049
bwaves	1.0222	1.063	1.0529	1.0252	1.0054	0.9997
roms	0.9922	0.9964	0.9862	0.976	0.9722	0.9971
cactuBSSN	1.0208	1.028	1.0247	1.0195	1.0085	1.0012
wrf	0.9472	0.9804	0.9854	0.9915	0.9943	0.9967
pop2	0.9415	0.9798	0.9873	0.9949	0.993	0.9995
xalancbmk	0.9977	1.0046	1.0051	1.0043	1.0027	1.0008
0.0	0.0	0.0	0.0	0.0	0.0	0.0
canneal	1.1197	1.1253	1.1063	1.0718	1.033	1.007
fluida	0.9693	0.9907	1.0025	1.0029	1.0058	1.0023
raytrace	0.9682	0.9984	0.985	0.9664	0.9804	0.9933
facesim	0.9997	1.0333	1.0319	1.022	1.0103	1.0018
streamc	1.0064	1.0687	1.0637	1.0422	1.0176	1.0036
0.0	0.0	0.0	0.0	0.0	0.0	0.0
add	0.9177	0.9597	0.9866	0.994	0.9985	0.9997
copy	0.891	0.9553	0.9896	0.9988	1.0004	1.0006
scale	0.8961	0.9544	0.9885	0.9968	0.9993	1.0002
triad	0.9227	0.9594	0.9847	0.9931	0.9982	1.0003
0.0	0.0	0.0	0.0	0.0	0.0	0.0
kmeans	0.9059	0.9107	0.9638	0.9906	1.0016	1.0027
masstree	1.0358	1.0719	1.0608	1.0313	1.0104	1.0015
0.0	0.0	0.0	0.0	0.0	0.0	0.0
LIGRA	0.9891	0.9901	0.9844	0.9919	0.9965	0.9992
SPEC	0.9881	1.0009	0.9958	0.9987	0.9977	0.9994
PARSEC	1.0112	1.0421	1.037	1.0204	1.0093	1.0016
STREAM	0.9068	0.9572	0.9873	0.9957	0.9991	1.0002
OTHERS	0.9687	0.988	1.0111	1.0108	1.006	1.0021
ALL	0.9807	0.9967	0.9972	0.9996	0.9996	0.9999
