workload	exp_alpha35	exp_alpha100	id_alpha35	id_alpha100
CF	0.0011	0.9947	0.9248	0.9248
BC	0.0008	0.9616	0.9748	0.9748
PR-Delta	0.0025	0.9315	0.9436	0.9436
BFSCC	0.0017	0.9315	0.9614	0.9614
BFS	0.0019	0.9215	0.9744	0.9744
Radii	0.0016	0.957	0.9471	0.9471
Triangle	0.0012	0.921	1.0149	1.0149
Components	0.0018	0.9518	0.9762	0.9762
Comp-SC	0.0017	0.9526	0.9844	0.9844
PageRank	0.0021	0.9583	0.9727	0.9727
BFS-BV	0.0013	0.9504	0.969	0.969
BellmanFord	0.0009	0.9396	0.9513	0.9513
MIS	0.0008	0.837	0.9018	0.9018
0.0	0.0	0.0	0.0	0.0
fotonik3d	0.1	0.1	0.1	0.1
mcf	0.0011	0.9844	0.9699	0.9699
gcc	0.004	0.8312	0.9472	0.9472
omnetpp	0.0021	1.007	0.9366	0.9366
bwaves	0.0015	1.0069	0.9183	0.9183
roms	0.0014	0.9765	0.9666	0.9666
cactuBSSN	0.0007	0.968	0.9397	0.9397
wrf	0.0018	0.934	0.9757	0.9757
pop2	0.0005	0.9436	0.9418	0.9418
xalancbmk	0.0007	1.0002	0.9772	0.9772
0.0	0.0	0.0	0.0	0.0
canneal	0.0025	1.0483	0.9351	0.9351
fluida	0.0006	0.9973	0.9973	0.9973
raytrace	0.0008	1.0092	0.9769	0.9769
facesim	0.0007	1.015	0.9822	0.9822
streamc	0.0011	0.9666	0.9215	0.9215
0.0	0.0	0.0	0.0	0.0
add	0.1	0.1	0.1	0.1
copy	0.0031	0.9246	0.9487	0.9487
scale	0.0027	0.9274	0.9499	0.9499
triad	0.0032	0.9204	0.9497	0.9497
0.0	0.0	0.0	0.0	0.0
kmeans	0.0019	0.8396	0.906	0.906
masstree	0.0023	1.0163	0.9162	0.9162
0.0	0.0	0.0	0.0	0.0
LIGRA	0.0014	0.9384	0.9609	0.9609
SPEC	0.002	0.7655	0.7602	0.7602
PARSEC	0.001	1.0069	0.9621	0.9621
STREAM	0.0072	0.53	0.5409	0.5409
OTHERS	0.0021	0.9238	0.9111	0.9111
ALL	0.0018	0.8343	0.8358	0.8358
