workload	exp_alpha100	id_alpha100	ip
fotonik3d	1.0016	0.9506	0.9793
mcf	1.0243	0.97	0.9915
gcc	0.9276	0.9898	0.9616
omnetpp	1.0676	0.9978	0.9902
bwaves	0.9974	0.961	0.9834
roms	0.9776	0.9983	1.0002
cactuBSSN	1.0116	0.9985	0.9865
wrf	0.9769	0.9731	0.9732
pop2	0.9994	0.9886	0.9871
xalancbmk	1.0013	0.9997	0.9986
0.0	0.0	0.0	0.0
add	0.9513	0.9279	0.9719
copy	0.9432	0.9247	0.9743
scale	0.9392	0.9257	0.9723
triad	0.9636	0.9335	0.9712
add_copy	0.9464	0.9296	0.9754
add_scale	0.9432	0.9308	0.9729
add_triad	0.9567	0.9308	0.9729
scale_triad	0.9481	0.9314	0.9743
0.0	0.0	0.0	0.0
SPEC	0.998	0.9826	0.9851
STREAM	0.9489	0.9293	0.9732
