workload	suite1
CF	0.9978
BC	1.0057
PR-Delta	0.9995
BFSCC	0.9821
BFS	1.0007
Radii	0.9929
Triangle	0.9915
Components	0.9887
Comp-SC	0.994
PageRank	0.9937
BFS-BV	0.9984
BellmanFord	1.0055
MIS	0.9908
0.0	0.0
fotonik3d	1.0022
mcf	0.9997
gcc	1.0033
omnetpp	1.0
bwaves	1.0012
roms	0.9995
cactuBSSN	1.0
wrf	0.9864
pop2	1.0017
xalancbmk	1.0
0.0	0.0
canneal	1.0
fluida	1.0
raytrace	0.9922
facesim	1.0
streamc	1.0
0.0	0.0
add	0.9968
copy	1.0068
scale	0.9997
triad	0.9911
0.0	0.0
kmeans	0.9951
masstree	1.0
0.0	0.0
LIGRA	0.9955
SPEC	0.9994
PARSEC	0.9984
STREAM	0.9986
OTHERS	0.9975
ALL	0.9975
