workload ideal start_s start_d
CF	0.9972	0.9948	0.9963
BC	0.9864	0.9689	0.9844
PR-Delta	0.9923	0.9139	0.9827
BFSCC	0.9904	0.9275	0.9826
BFS	0.9939	0.8865	0.9842
Radii	0.9765	0.8593	0.9643
Triangle	0.9862	0.8358	0.9681
Components	0.9529	0.8199	0.9366
Comp-SC	0.9539	0.8026	0.9366
PageRank	0.9495	0.87	0.9393
BFS-BV	0.9821	0.8889	0.9719
BellmanFord	0.9964	1.0086	0.9807
MIS	0.9964	0.9342	0.9953
0.0	0.0	0.0	0.0
fotonik3d	0.9948	0.9887	0.9841
mcf	0.9945	0.8786	0.9488
gcc	0.9964	0.9966	0.9965
omnetpp	0.9975	0.9411	0.9917
bwaves	0.9828	0.9735	0.9792
roms	0.9973	0.9917	0.9945
cactuBSSN	0.9785	0.9577	0.978
wrf	0.9909	0.9231	0.9807
pop2	1.0004	0.9227	0.9794
xalancbmk	0.998	0.984	0.9955
0.0	0.0	0.0	0.0
canneal	0.9951	0.9369	0.9887
fluida	0.9998	1.0051	1.0007
raytrace	0.9968	0.9928	0.9943
facesim	0.9904	0.9505	0.9856
streamc	0.9752	0.9693	0.9742
0.0	0.0	0.0	0.0
LIGRA	0.9809	0.8987	0.9708
SPEC	0.9931	0.9551	0.9828
PARSEC	0.9914	0.9706	0.9887
ALL	0.9871	0.9311	0.9782
