workload	hydra_c	hydra_p	start_s	start_lite	start_d	ideal
cassandra	0.888	0.939	0.922	0.985	0.985	0.995
classific	0.994	0.995	0.851	0.979	0.979	0.997
nutch	0.967	0.988	0.801	0.972	0.972	0.997
cloud9	0.995	0.996	0.972	0.994	0.994	0.999
0	0	0	0	0	0	0
mix1	0.896	0.950	0.913	0.971	0.974	0.984
mix2	0.978	0.987	0.937	0.990	0.989	0.995
mix3	0.928	0.964	0.952	0.979	0.990	0.996
mix4	0.943	0.971	0.940	0.987	0.986	0.992
mix5	0.865	0.928	0.912	0.977	0.978	0.986
mix6	0.921	0.954	0.895	0.976	0.977	0.988
mix7	0.959	0.979	0.940	0.986	0.987	0.991
mix8	0.933	0.967	0.939	0.987	0.989	0.995
mix9	0.932	0.957	0.931	0.978	0.979	0.985
mix10	0.962	0.977	0.939	0.988	0.988	0.994
mix11	0.972	0.984	0.956	0.990	0.990	0.995
mix12	0.972	0.984	0.967	0.993	0.993	0.996
mix13	0.965	0.982	0.976	0.991	0.993	0.995
mix14	0.977	0.988	0.959	0.992	0.992	0.994
cs_mix1	0.933	0.968	0.924	0.985	0.986	0.993
cs_mix2	0.968	0.985	0.938	0.989	0.989	0.995
cs_mix3	0.903	0.956	0.901	0.976	0.976	0.984
cs_mix4	0.984	0.992	0.966	0.993	0.993	0.997
cs_mix5	0.959	0.976	0.941	0.985	0.985	0.990
0	0	0	0	0	0	0
LIGRA	0.870	0.961	0.899	0.969	0.971	0.981
SPEC	0.912	0.962	0.955	0.949	0.983	0.993
PARSEC	0.961	0.987	0.971	0.989	0.989	0.991
CLOUD	0.960	0.979	0.884	0.982	0.982	0.997
MIX-ALL	0.944	0.971	0.938	0.985	0.986	0.992
ALL-51	0.921	0.969	0.930	0.974	0.981	0.990
