workload,ideal,start_m
CF,0.969,0.966
BC,0.914,0.905
PageRank-D,0.934,0.915
BFS-CC,0.931,0.914
BFS,0.950,0.935
Radii,0.877,0.855
Triangle,0.903,0.880
Components,0.800,0.782
Comp-SC,0.809,0.786
PageRank,0.803,0.787
BFS-BV,0.899,0.882
BellmanF,0.955,0.949
MIS,0.951,0.951
0,0.000,0.000
fotonik3D,0.966,0.957
mcf,0.955,0.904
gcc,0.973,0.973
omnetpp,0.961,0.943
bwaves,0.913,0.905
roms,0.975,0.971
cactuBSSN,0.901,0.898
wrf,0.946,0.937
pop2,0.972,0.962
xalancbmk,0.992,0.992
0,0.000,0.000
canneal,0.964,0.950
fluidanimate,0.976,0.973
raytrace,0.970,0.968
facesim,0.952,0.947
streamc,0.889,0.888
0,0.000,0.000
LIGRA,0.898,0.883
SPEC,0.955,0.944
PARSEC,0.950,0.945
ALL,0.927,0.915
