workload ideal start_m
CF	0.9991		1.0043
BC	0.9977		0.9935
PR-Delta	0.999		0.988
BFSCC	0.9995		0.9892
BFS	0.9993		0.9864
Radii	0.9955		0.9841
Triangle	0.9983		0.9793
Components	0.9892		0.9736
Comp-SC	0.9893		0.9714
PageRank	0.9888		0.979
BFS-BV	0.997		0.9847
BellmanFord	1.0		0.983
MIS	0.9995		0.9989
0.0	0.0		0.0
fotonik3d	1.0		0.9897
mcf	0.9985		0.9067
gcc	1.0		0.9998
omnetpp	0.9998		0.9907
bwaves	1.0003		0.9979
roms	0.9996		0.9983
cactuBSSN	0.9951		0.9953
wrf	1.0004		0.9904
pop2	0.9994		0.989
xalancbmk	0.9995		0.9965
0.0	0.0		0.0
canneal	0.9994		0.9922
fluida	0.9999		1.0015
raytrace	1.0003		1.0
facesim	0.9994		0.9919
streamc	0.9951		0.9951
0.0	0.0		0.0
LIGRA	0.9963		0.9858
SPEC	0.9993		0.9851
PARSEC	0.9988		0.9961
ALL	0.9978		0.9874
