workload	ideal	start_s	start_d
CF	0.9971680302	0.995	0.996
BC	0.9864416961	0.969	0.984
PageRank-D	0.9922787768	0.914	0.983
BFS-CC	0.990361473	0.928	0.983
BFS	0.9939386814	0.887	0.984
Radii	0.9765071005	0.859	0.964
Triangle	0.9862428536	0.836	0.968
Components	0.9528612507	0.82	0.937
Comp-SC	0.9539301428	0.803	0.937
PageRank	0.9495054415	0.87	0.939
BFS-BV	0.982062372	0.889	0.972
BellmanF	0.9964048901	1.009	0.981
MIS	0.9964040781	0.934	0.995
0	0	0	0
fotonik3D	0.9947635432	0.989	0.984
mcf	0.9945416235	0.879	0.949
gcc	0.9964344317	0.997	0.997
omnetpp	0.9974707058	0.941	0.992
bwaves	0.9827768701	0.974	0.979
roms	0.9973075412	0.992	0.995
cactuBSSN	0.9784756305	0.958	0.978
wrf	0.990916059	0.923	0.981
pop2	1.000417343	0.923	0.979
xalancbmk	0.9980309323	0.984	0.996
0	0	0	0
canneal	0.9951311693	0.937	0.989
fluidanimate	0.9998213818	1.005	1.001
raytrace	0.9968088953	0.993	0.994
facesim	0.9903647209	0.95	0.986
streamc	0.9751622265	0.969	0.974
0	0	0	0
LIGRA	0.980937987	0.899	0.971
SPEC	0.9930903972	0.955	0.983
PARSEC	0.9914192273	0.971	0.989
ALL	0.9871326688	0.931	0.978
