workload	hydra_c	hydra_p	start_s	start_lite	start_d	ideal
CF	0.897	0.982	0.995	0.973	0.996	0.997
BC	0.850	0.969	0.969	0.982	0.984	0.986
PageRank-D	0.950	0.985	0.914	0.983	0.983	0.992
BFS-CC	0.955	0.981	0.928	0.982	0.983	0.990
BFS	0.968	0.987	0.887	0.985	0.984	0.994
Radii	0.870	0.955	0.859	0.964	0.964	0.977
Triangle	0.968	0.981	0.836	0.968	0.968	0.986
Components	0.803	0.928	0.820	0.935	0.937	0.953
Comp-SC	0.831	0.933	0.803	0.938	0.937	0.954
PageRank	0.469	0.843	0.870	0.935	0.939	0.950
BFS-BV	0.957	0.975	0.889	0.971	0.972	0.982
BellmanF	0.985	0.991	1.009	0.982	0.981	0.996
MIS	0.988	0.992	0.934	0.995	0.995	0.996
0	0	0	0	0	0	0
fotonik3D	0.811	0.932	0.989	0.849	0.984	0.995
mcf	0.690	0.850	0.879	0.777	0.949	0.995
gcc	0.994	0.996	0.997	0.996	0.997	0.996
omnetpp	0.863	0.970	0.941	0.991	0.992	0.997
bwaves	0.932	0.952	0.974	0.975	0.979	0.983
roms	0.984	0.992	0.992	0.995	0.995	0.997
cactuBSSN	0.932	0.961	0.958	0.977	0.978	0.978
wrf	0.981	0.987	0.923	0.982	0.981	0.991
pop2	0.990	0.995	0.923	0.987	0.979	1.000
xalancbmk	0.998	0.997	0.984	0.996	0.996	0.998
0	0	0	0	0	0	0
canneal	0.880	0.986	0.937	0.989	0.989	0.995
fluidanimate	0.981	0.995	1.005	1.001	1.001	1.000
raytrace	0.989	0.992	0.993	0.994	0.994	0.997
facesim	0.988	0.990	0.950	0.986	0.986	0.990
streamc	0.972	0.973	0.969	0.975	0.974	0.975
0	0	0	0	0	0	0
LIGRA	0.870	0.961	0.899	0.969	0.971	0.981
SPEC	0.912	0.962	0.955	0.949	0.983	0.993
PARSEC	0.961	0.987	0.971	0.989	0.989	0.991
ALL-28	0.901	0.966	0.931	0.965	0.978	0.987
